gene,drug_class,coverage,matching_kmers,total_kmers,biosample_id
blaOXA-84_1_DQ309276,beta-lactam,0.461,733,1590,54529271
blaOXA-88_1_DQ392963,beta-lactam,0.425,676,1590,54529271
blaOXA-90_1_EU547443,beta-lactam,0.397,631,1590,54529271
blaOXA-92_1_DQ335566,beta-lactam,0.301,479,1590,54529271
blaOXA-94_1_DQ519088,beta-lactam,0.377,599,1590,54529271
blaOXA-95_1_DQ519089,beta-lactam,0.393,625,1590,54529271
blaOXA-106_1_EF650032,beta-lactam,0.316,502,1590,54529271
blaOXA-107_1_LAVJ01000082,beta-lactam,0.313,498,1590,54529271
blaOXA-108_1_EF650034,beta-lactam,0.367,584,1590,54529271
blaOXA-109_1_EF650035,beta-lactam,0.481,764,1590,54529271
blaOXA-110_1_EF650036,beta-lactam,0.321,510,1590,54529271
blaOXA-112_1_EF650038,beta-lactam,0.301,479,1590,54529271
blaOXA-115_1_EU029998,beta-lactam,0.461,733,1590,54529271
blaOXA-120_1_EU255289,beta-lactam,0.317,504,1590,54529271
blaOXA-126_1_EU255295,beta-lactam,0.367,584,1590,54529271
blaOXA-127_1_EU255296,beta-lactam,0.481,764,1590,54529271
blaOXA-130_1_EU547445,beta-lactam,0.387,615,1590,54529271
blaOXA-131_1_EU547446,beta-lactam,0.461,733,1590,54529271
blaOXA-138_1_EU670845,beta-lactam,0.471,749,1590,54529271
blaOXA-146_1_FJ194494,beta-lactam,0.481,765,1590,54529271
blaOXA-165_1_HM488986,beta-lactam,0.48,761,1584,54529271
blaOXA-166_1_HM488987,beta-lactam,0.48,761,1584,54529271
blaOXA-167_1_HM488988,beta-lactam,0.48,761,1584,54529271
blaOXA-168_1_HM488989,beta-lactam,0.48,761,1584,54529271
blaOXA-169_1_HM488990,beta-lactam,0.48,761,1584,54529271
blaOXA-170_1_HM488991,beta-lactam,0.48,761,1584,54529271
blaOXA-171_1_HM488992,beta-lactam,0.48,761,1584,54529271
blaOXA-172_1_HM113558,beta-lactam,0.461,733,1590,54529271
blaOXA-173_1_HM113559,beta-lactam,0.453,721,1590,54529271
blaOXA-174_1_HM113560,beta-lactam,0.469,746,1590,54529271
blaOXA-175_1_HM113561,beta-lactam,0.461,733,1590,54529271
blaOXA-176_1_HM113562,beta-lactam,0.461,733,1590,54529271
blaOXA-177_1_HM113563,beta-lactam,0.461,733,1590,54529271
blaOXA-178_1_HM113564,beta-lactam,0.461,733,1590,54529271
blaOXA-180_1_HM570036,beta-lactam,0.31,493,1590,54529271
blaOXA-194_1_HQ425492,beta-lactam,0.467,743,1590,54529271
blaOXA-195_1_HQ425493,beta-lactam,0.417,663,1590,54529271
blaOXA-196_1_HQ425494,beta-lactam,0.455,723,1590,54529271
blaOXA-197_1_HQ425495,beta-lactam,0.448,712,1590,54529271
blaOXA-200_1_HQ734811,beta-lactam,0.372,592,1590,54529271
blaOXA-201_1_HQ734812,beta-lactam,0.461,733,1590,54529271
blaOXA-202_1_HQ734813,beta-lactam,0.481,764,1590,54529271
blaOXA-206_1_AB634250,beta-lactam,0.481,764,1590,54529271
blaOXA-225_1_JN638887,beta-lactam,0.48,761,1584,54529271
blaOXA-234_1_NG_050607,beta-lactam,0.481,764,1590,54529271
blaOXA-239_1_JQ837239,beta-lactam,0.455,721,1584,54529271
blaOXA-248_1_HE963769,beta-lactam,0.321,510,1590,54529271
blaOXA-249_1_HE963770,beta-lactam,0.367,584,1590,54529271
blaOXA-250_1_HE963771,beta-lactam,0.303,481,1590,54529271
blaOXA-254_1_AB781687,beta-lactam,0.481,764,1590,54529271
blaOXA-371_1_AB871653,beta-lactam,0.301,479,1590,54529271
blaADC-25_1_EF016355,beta-lactam,0.486,1091,2244,54529271
blaOXA-545_1_KY674541,beta-lactam,0.396,629,1590,54529271
blaOXA-556_1_KY126231,beta-lactam,0.302,480,1590,54529271
blaOXA-557_1_KY126232,beta-lactam,0.383,609,1590,54529271
blaOXA-565_1_KY883665,beta-lactam,0.333,528,1584,54529271
blaOXA-315_1_KF057032,beta-lactam,0.376,598,1590,54529271
blaOXA-316_1_KF057033,beta-lactam,0.366,582,1590,54529271
blaOXA-260_1_APOR01000009,beta-lactam,0.489,778,1590,54529271
blaOXA-103_1_APQF01000011,beta-lactam,0.336,533,1584,54529271
tet(B)_1_AP000342,tetracycline,0.497,1170,2352,54529271
tet(B)_2_AF326777,tetracycline,0.484,1139,2352,54529271
tet(B)_3_AJ277653,tetracycline,0.445,1046,2352,54529271
aac(6')-Iaa_1_NC_003197,aminoglycoside,0.382,312,816,54802006
fosA7_1_LAPJ01000014,fosfomycin,1.0,786,786,54802006
sul2_1_AF542061,sulfonamide,0.471,741,1572,54802006
sul2_2_AY034138,sulfonamide,0.5,786,1572,54802006
sul2_3_HQ840942,sulfonamide,0.445,699,1572,54802006
sul2_5_AY524415,sulfonamide,0.346,544,1572,54802006
sul2_6_FN995456,sulfonamide,0.461,724,1572,54802006
sul2_7_HM486907,sulfonamide,0.459,754,1644,54802006
sul2_8_AJ877041,sulfonamide,0.459,754,1644,54802006
sul2_9_FJ197818,sulfonamide,0.477,785,1644,54802006
sul2_10_AM183225,sulfonamide,0.461,727,1578,54802006
sul2_11_AY232670,sulfonamide,0.48,755,1572,54802006
sul2_12_AF497970,sulfonamide,0.48,755,1572,54802006
sul2_13_AJ289135,sulfonamide,0.48,754,1572,54802006
sul2_14_AJ514834,sulfonamide,0.493,778,1578,54802006
sul2_15_FJ968160,sulfonamide,0.48,755,1572,54802006
sul2_17_U57647,sulfonamide,0.48,755,1572,54802006
sul2_18_AJ830714,sulfonamide,0.48,755,1572,54802006
sul2_19_AJ319822,sulfonamide,0.48,755,1572,54802006
sul2_20_AJ830710,sulfonamide,0.48,755,1572,54802006
sul2_21_AB366440,sulfonamide,0.445,699,1572,54802006
tet(A)_1_AJ313332,tetracycline,0.474,1108,2340,54802006
tet(A)_2_X00006,tetracycline,0.415,970,2340,54802006
tet(A)_3_AY196695,tetracycline,0.444,1040,2340,54802006
tet(A)_4_AJ517790,tetracycline,0.5,1170,2340,54802006
tet(A)_5_AJ419171,tetracycline,0.473,1107,2340,54802006
tet(A)_6_AF534183,tetracycline,0.489,1217,2490,54802006
aph(2'')-Ia_2_AP009486,aminoglycoside,0.485,1402,2892,53668798
aph(2'')-Ia_3_AJ536195,aminoglycoside,0.489,1379,2820,53668798
aac(6')-aph(2'')_1_M13771,aminoglycoside,0.5,1410,2820,53668798
ant(6)-Ia_2_KF421157,aminoglycoside,0.483,806,1668,53668798
str_1_X92946,aminoglycoside,0.5,819,1638,53668798
str_2_FN435330,aminoglycoside,0.443,726,1638,53668798
erm(B)_1_JN899585,macrolide,0.478,677,1416,53668798
erm(B)_2_K00551,macrolide,0.408,578,1416,53668798
erm(B)_6_AF242872,macrolide,0.427,613,1434,53668798
erm(B)_9_AF299292,macrolide,0.477,675,1416,53668798
erm(B)_10_U86375,macrolide,0.455,644,1416,53668798
erm(B)_11_M19270,macrolide,0.434,614,1416,53668798
erm(B)_12_U18931,macrolide,0.5,708,1416,53668798
erm(B)_15_U48430,macrolide,0.402,581,1446,53668798
erm(B)_18_X66468,macrolide,0.418,612,1464,53668798
erm(B)_20_AF109075,macrolide,0.364,515,1416,53668798
erm(B)_21_U35228,macrolide,0.433,613,1416,53668798
lsa(A)_1_AY225127,macrolide,0.308,905,2934,53668798
lsa(A)_3_AY737526,macrolide,0.312,915,2934,53668798
erm(B)_22_X52632,macrolide,0.455,644,1416,53668798
erm(B)_26_AF080450,macrolide,0.423,612,1446,53668798
erm(B)_23_X72021,macrolide,0.434,615,1416,53668798
optrA_1_KP399637,oxazolidinone,0.484,1876,3876,53668798
optrA_2_KT862781,oxazolidinone,0.458,1776,3876,53668798
optrA_3_KT862780,oxazolidinone,0.492,1907,3876,53668798
optrA_4_KT862777,oxazolidinone,0.452,1752,3876,53668798
optrA_5_KT862783,oxazolidinone,0.468,1814,3876,53668798
optrA_6_KT862784,oxazolidinone,0.444,1720,3876,53668798
optrA_7_KT862775,oxazolidinone,0.468,1814,3876,53668798
optrA_8_KT862782,oxazolidinone,0.47,1820,3876,53668798
optrA_10_KT601170,oxazolidinone,0.461,1786,3876,53668798
optrA_11_KX620934,oxazolidinone,0.468,1814,3876,53668798
optrA_12_KX620936,oxazolidinone,0.466,1807,3876,53668798
optrA_13_KX620939,oxazolidinone,0.429,1662,3876,53668798
optrA_14_KX620941,oxazolidinone,0.46,1783,3876,53668798
optrA_15_KX620942,oxazolidinone,0.46,1783,3876,53668798
optrA_16_AMBD01000029,oxazolidinone,0.438,1696,3876,53668798
optrA_17_ALZI01000051,oxazolidinone,0.462,1789,3876,53668798
optrA_18_ALMH01000001,oxazolidinone,0.436,1689,3876,53668798
optrA_19_ALMN01000021,oxazolidinone,0.467,1811,3876,53668798
optrA_20_ALMZ01000078,oxazolidinone,0.462,1789,3876,53668798
fexA_1_AJ549214,phenicol,0.45,1258,2796,53668798
fexA_2_AM408573,phenicol,0.439,1227,2796,53668798
tet(M)_1_X92947,tetracycline,0.301,1139,3780,53668798
tet(M)_3_U08812,tetracycline,0.303,1147,3780,53668798
tet(M)_4_X75073,tetracycline,0.31,1172,3780,53668798
tet(M)_5_U58985,tetracycline,0.321,1212,3780,53668798
tet(L)_2_M29725,tetracycline,0.5,1347,2694,53668798
tet(L)_3_M11036,tetracycline,0.477,1284,2694,53668798
tet(L)_4_D00006,tetracycline,0.488,1316,2694,53668798
tet(L)_7_X60828,tetracycline,0.413,1113,2694,53668798
tet(L)_8_AY081910,tetracycline,0.488,1316,2694,53668798
tet(L)_9_CP068241,tetracycline,0.488,1316,2694,53668798
dfrG_1_AB205645,trimethoprim,1.0,936,936,53668798
erm(B)_1_JN899585,macrolide,0.478,677,1416,54496757
erm(B)_2_K00551,macrolide,0.408,578,1416,54496757
erm(B)_6_AF242872,macrolide,0.427,613,1434,54496757
erm(B)_9_AF299292,macrolide,0.477,675,1416,54496757
erm(B)_10_U86375,macrolide,0.455,644,1416,54496757
erm(B)_11_M19270,macrolide,0.434,614,1416,54496757
erm(B)_12_U18931,macrolide,0.5,708,1416,54496757
erm(B)_15_U48430,macrolide,0.402,581,1446,54496757
erm(B)_18_X66468,macrolide,0.428,626,1464,54496757
erm(B)_20_AF109075,macrolide,0.364,515,1416,54496757
erm(B)_21_U35228,macrolide,0.433,613,1416,54496757
lsa(A)_1_AY225127,macrolide,0.718,2106,2934,54496757
lsa(A)_3_AY737526,macrolide,0.772,2266,2934,54496757
erm(B)_22_X52632,macrolide,0.455,644,1416,54496757
erm(B)_26_AF080450,macrolide,0.423,612,1446,54496757
erm(B)_23_X72021,macrolide,0.434,615,1416,54496757
tet(M)_1_X92947,tetracycline,0.301,1139,3780,54496757
tet(M)_3_U08812,tetracycline,0.303,1147,3780,54496757
tet(M)_4_X75073,tetracycline,0.31,1172,3780,54496757
tet(M)_5_U58985,tetracycline,0.321,1212,3780,54496757
tet(L)_2_M29725,tetracycline,0.5,1347,2694,54496757
tet(L)_3_M11036,tetracycline,0.477,1284,2694,54496757
tet(L)_4_D00006,tetracycline,0.488,1316,2694,54496757
tet(L)_7_X60828,tetracycline,0.413,1113,2694,54496757
tet(L)_8_AY081910,tetracycline,0.488,1316,2694,54496757
tet(L)_9_CP068241,tetracycline,0.488,1316,2694,54496757
aph(6)-Id_1_M28829,aminoglycoside,0.5,807,1614,54764853
aph(6)-Id_3_AB109805,aminoglycoside,0.462,745,1614,54764853
aph(6)-Id_4_CP000971,aminoglycoside,0.481,770,1602,54764853
aph(6)-Id_5_18676889,aminoglycoside,0.481,776,1614,54764853
aph(3'')-Ib_1_M28829,aminoglycoside,0.458,709,1548,54764853
aph(3'')-Ib_3_AF321550,aminoglycoside,0.48,743,1548,54764853
aph(3'')-Ib_4_AF313472,aminoglycoside,0.48,743,1548,54764853
armA_1_AY220558,aminoglycoside,0.5,744,1488,54764853
aph(3'')-Ib_2_AF024602,aminoglycoside,0.499,773,1548,54764853
aph(3'')-Ib_5_AF321551,aminoglycoside,0.48,743,1548,54764853
aph(6)-Id_2_AF024602,aminoglycoside,0.481,776,1614,54764853
blaOXA-336_1_KF048907,beta-lactam,0.481,764,1590,54764853
blaOXA-338_1_KF048909,beta-lactam,0.304,483,1590,54764853
blaOXA-342_1_KF048915,beta-lactam,0.336,534,1590,54764853
blaOXA-343_1_KF048916,beta-lactam,0.37,588,1590,54764853
blaOXA-344_1_KF048917,beta-lactam,0.306,487,1590,54764853
blaOXA-345_1_KF048918,beta-lactam,0.367,583,1590,54764853
blaOXA-366_1_KP050485,beta-lactam,0.48,761,1584,54764853
blaOXA-375_1_KF986256,beta-lactam,0.375,597,1590,54764853
blaOXA-381_1_KJ135344,beta-lactam,0.304,483,1590,54764853
blaOXA-382_1_KJ135345,beta-lactam,0.306,487,1590,54764853
blaOXA-383_1_KF986262,beta-lactam,0.32,509,1590,54764853
blaOXA-398_1_KM087842,beta-lactam,0.48,761,1584,54764853
blaOXA-403_1_KJ920337,beta-lactam,0.316,502,1590,54764853
blaOXA-422_1_KM433671,beta-lactam,0.48,761,1584,54764853
blaOXA-423_1_KM433672,beta-lactam,0.461,730,1584,54764853
blaOXA-425_1_KM588353,beta-lactam,0.461,733,1590,54764853
blaOXA-435_1_KP144324,beta-lactam,0.48,761,1584,54764853
blaOXA-440_1_KP727574,beta-lactam,0.48,761,1584,54764853
blaOXA-480_1_KR872296,beta-lactam,0.486,773,1590,54764853
blaOXA-482_1_KP264124,beta-lactam,0.48,761,1584,54764853
blaOXA-483_1_KP264125,beta-lactam,0.48,761,1584,54764853
blaOXA-507_1_KU551305,beta-lactam,0.321,510,1590,54764853
blaOXA-508_1_KU596972,beta-lactam,0.492,782,1590,54764853
blaOXA-510_1_JX865393,beta-lactam,0.301,478,1590,54764853
blaOXA-511_1_KU710720,beta-lactam,0.387,616,1590,54764853
blaOXA-516_1_KU871391,beta-lactam,0.311,494,1590,54764853
blaOXA-521_1_KX462701,beta-lactam,0.376,598,1590,54764853
blaOXA-525_1_KX599406,beta-lactam,0.461,733,1590,54764853
blaOXA-536_1_KX859240,beta-lactam,0.481,764,1590,54764853
blaOXA-23_1_AY795964,beta-lactam,0.5,792,1584,54764853
blaOXA-27_1_AF201828,beta-lactam,0.441,699,1584,54764853
blaOXA-49_1_AY288523,beta-lactam,0.462,734,1590,54764853
blaOXA-64_1_AY750907,beta-lactam,0.308,489,1590,54764853
blaOXA-65_1_AY750908,beta-lactam,0.454,722,1590,54764853
blaOXA-66_1_AY750909,beta-lactam,0.5,795,1590,54764853
blaOXA-69_1_AY859527,beta-lactam,0.321,510,1590,54764853
blaOXA-73_1_AY762325,beta-lactam,0.48,761,1584,54764853
blaOXA-76_1_AY949203,beta-lactam,0.489,777,1590,54764853
blaOXA-79_1_EU019534,beta-lactam,0.481,764,1590,54764853
blaOXA-80_1_EU019535,beta-lactam,0.481,764,1590,54764853
blaOXA-82_1_DQ987479,beta-lactam,0.481,764,1590,54764853
blaOXA-83_1_DQ309277,beta-lactam,0.481,764,1590,54764853
blaOXA-84_1_DQ309276,beta-lactam,0.461,733,1590,54764853
blaOXA-88_1_DQ392963,beta-lactam,0.425,676,1590,54764853
blaOXA-90_1_EU547443,beta-lactam,0.397,631,1590,54764853
blaOXA-92_1_DQ335566,beta-lactam,0.301,479,1590,54764853
blaOXA-94_1_DQ519088,beta-lactam,0.377,599,1590,54764853
blaOXA-95_1_DQ519089,beta-lactam,0.393,625,1590,54764853
blaOXA-106_1_EF650032,beta-lactam,0.316,502,1590,54764853
blaOXA-107_1_LAVJ01000082,beta-lactam,0.313,498,1590,54764853
blaOXA-108_1_EF650034,beta-lactam,0.367,584,1590,54764853
blaOXA-109_1_EF650035,beta-lactam,0.481,764,1590,54764853
blaOXA-110_1_EF650036,beta-lactam,0.321,510,1590,54764853
blaOXA-112_1_EF650038,beta-lactam,0.301,479,1590,54764853
blaOXA-115_1_EU029998,beta-lactam,0.461,733,1590,54764853
blaOXA-120_1_EU255289,beta-lactam,0.317,504,1590,54764853
blaOXA-126_1_EU255295,beta-lactam,0.367,584,1590,54764853
blaOXA-127_1_EU255296,beta-lactam,0.481,764,1590,54764853
blaOXA-130_1_EU547445,beta-lactam,0.387,615,1590,54764853
blaOXA-131_1_EU547446,beta-lactam,0.461,733,1590,54764853
blaOXA-138_1_EU670845,beta-lactam,0.471,749,1590,54764853
blaOXA-146_1_FJ194494,beta-lactam,0.481,765,1590,54764853
blaOXA-165_1_HM488986,beta-lactam,0.48,761,1584,54764853
blaOXA-166_1_HM488987,beta-lactam,0.48,761,1584,54764853
blaOXA-167_1_HM488988,beta-lactam,0.48,761,1584,54764853
blaOXA-168_1_HM488989,beta-lactam,0.48,761,1584,54764853
blaOXA-169_1_HM488990,beta-lactam,0.48,761,1584,54764853
blaOXA-170_1_HM488991,beta-lactam,0.48,761,1584,54764853
blaOXA-171_1_HM488992,beta-lactam,0.48,761,1584,54764853
blaOXA-172_1_HM113558,beta-lactam,0.461,733,1590,54764853
blaOXA-173_1_HM113559,beta-lactam,0.453,721,1590,54764853
blaOXA-174_1_HM113560,beta-lactam,0.469,746,1590,54764853
blaOXA-175_1_HM113561,beta-lactam,0.461,733,1590,54764853
blaOXA-176_1_HM113562,beta-lactam,0.461,733,1590,54764853
blaOXA-177_1_HM113563,beta-lactam,0.461,733,1590,54764853
blaOXA-178_1_HM113564,beta-lactam,0.461,733,1590,54764853
blaOXA-180_1_HM570036,beta-lactam,0.31,493,1590,54764853
blaOXA-194_1_HQ425492,beta-lactam,0.467,743,1590,54764853
blaOXA-195_1_HQ425493,beta-lactam,0.417,663,1590,54764853
blaOXA-196_1_HQ425494,beta-lactam,0.455,723,1590,54764853
blaOXA-197_1_HQ425495,beta-lactam,0.448,712,1590,54764853
blaOXA-200_1_HQ734811,beta-lactam,0.372,592,1590,54764853
blaOXA-201_1_HQ734812,beta-lactam,0.461,733,1590,54764853
blaOXA-202_1_HQ734813,beta-lactam,0.481,764,1590,54764853
blaOXA-206_1_AB634250,beta-lactam,0.481,764,1590,54764853
blaOXA-225_1_JN638887,beta-lactam,0.48,761,1584,54764853
blaOXA-234_1_NG_050607,beta-lactam,0.481,764,1590,54764853
blaOXA-239_1_JQ837239,beta-lactam,0.455,721,1584,54764853
blaOXA-248_1_HE963769,beta-lactam,0.321,510,1590,54764853
blaOXA-249_1_HE963770,beta-lactam,0.367,584,1590,54764853
blaOXA-250_1_HE963771,beta-lactam,0.303,481,1590,54764853
blaOXA-254_1_AB781687,beta-lactam,0.481,764,1590,54764853
blaOXA-371_1_AB871653,beta-lactam,0.301,479,1590,54764853
blaTEM-1A_1_HM749966,beta-lactam,0.832,1382,1662,54764853
blaTEM-1B_1_AY458016,beta-lactam,0.81,1346,1662,54764853
blaTEM-1C_1_FJ560503,beta-lactam,0.869,1444,1662,54764853
blaTEM-1D_1_AF188200,beta-lactam,0.963,1600,1662,54764853
blaTEM-2_1_X54606,beta-lactam,0.925,1538,1662,54764853
blaTEM-2_2_AJ251946,beta-lactam,0.858,1426,1662,54764853
blaTEM-3_1_X64523,beta-lactam,0.851,1414,1662,54764853
blaTEM-6_1_X57972,beta-lactam,0.794,1320,1662,54764853
blaTEM-8_1_X65252,beta-lactam,0.844,1402,1662,54764853
blaTEM-10_1_AF093512,beta-lactam,0.8,1330,1662,54764853
blaTEM-11_1_AY874537,beta-lactam,0.919,1528,1662,54764853
blaTEM-12_1_M88143,beta-lactam,0.955,1588,1662,54764853
blaTEM-15_1_AM849805,beta-lactam,0.759,1262,1662,54764853
blaTEM-16_1_X65254,beta-lactam,0.882,1466,1662,54764853
blaTEM-17_1_Y14574,beta-lactam,0.702,1166,1662,54764853
blaTEM-20_1_EU527189,beta-lactam,0.818,1360,1662,54764853
blaTEM-21_1_Y17582,beta-lactam,0.813,1352,1662,54764853
blaTEM-22_1_Y17583,beta-lactam,0.848,1410,1662,54764853
blaTEM-24_1_GQ293500,beta-lactam,0.827,1374,1662,54764853
blaTEM-28_1_U37195,beta-lactam,0.8,1330,1662,54764853
blaTEM-29_1_DQ269440,beta-lactam,0.832,1382,1662,54764853
blaTEM-30_1_AJ437107,beta-lactam,0.805,1338,1662,54764853
blaTEM-33_1_GU371926,beta-lactam,0.773,1284,1662,54764853
blaTEM-34_1_KC292503,beta-lactam,0.773,1284,1662,54764853
blaTEM-43_1_U95363,beta-lactam,0.757,1258,1662,54764853
blaTEM-45_1_X95401,beta-lactam,0.888,1476,1662,54764853
blaTEM-47_1_Y10279,beta-lactam,0.826,1372,1662,54764853
blaTEM-48_1_Y10280,beta-lactam,0.847,1408,1662,54764853
blaTEM-49_1_Y10281,beta-lactam,0.838,1392,1662,54764853
blaTEM-52C_2_EF141186,beta-lactam,0.781,1298,1662,54764853
blaTEM-52B_1_AF027199,beta-lactam,0.722,1200,1662,54764853
blaTEM-53_1_AF104441,beta-lactam,0.918,1526,1662,54764853
blaTEM-54_1_AF104442,beta-lactam,0.826,1372,1662,54764853
blaTEM-55_1_DQ286729,beta-lactam,0.794,1320,1662,54764853
blaTEM-57_1_FJ405211,beta-lactam,0.794,1320,1662,54764853
blaTEM-60_1_AF047171,beta-lactam,0.74,1230,1662,54764853
blaTEM-63_1_AF332513,beta-lactam,0.769,1278,1662,54764853
blaTEM-67_1_AF091113,beta-lactam,0.851,1414,1662,54764853
blaTEM-68_1_AJ239002,beta-lactam,0.789,1312,1662,54764853
blaTEM-70_1_AF188199,beta-lactam,0.773,1284,1662,54764853
blaTEM-71_1_AF203816,beta-lactam,0.922,1532,1662,54764853
blaTEM-72_1_AF157553,beta-lactam,0.847,1408,1662,54764853
blaTEM-76_1_AF190694,beta-lactam,0.793,1318,1662,54764853
blaTEM-77_1_AF190695,beta-lactam,0.768,1276,1662,54764853
blaTEM-78_1_AF190693,beta-lactam,0.884,1470,1662,54764853
blaTEM-79_1_AF190692,beta-lactam,0.768,1276,1662,54764853
blaTEM-80_1_AF347054,beta-lactam,0.722,1200,1662,54764853
blaTEM-81_1_AF427127,beta-lactam,0.759,1262,1662,54764853
blaTEM-82_1_AF427128,beta-lactam,0.759,1262,1662,54764853
blaTEM-83_1_AF427129,beta-lactam,0.887,1474,1662,54764853
blaTEM-84_1_AF427130,beta-lactam,0.925,1538,1662,54764853
blaTEM-85_1_AJ277414,beta-lactam,0.844,1402,1662,54764853
blaTEM-86_1_AJ277415,beta-lactam,0.836,1390,1662,54764853
blaTEM-87_1_AF250872,beta-lactam,0.865,1438,1662,54764853
blaTEM-88_1_AY027590,beta-lactam,0.685,1138,1662,54764853
blaTEM-90_1_AF351241,beta-lactam,0.794,1320,1662,54764853
blaTEM-91_1_AB049569,beta-lactam,0.822,1366,1662,54764853
blaTEM-92_1_AF143804,beta-lactam,0.839,1394,1662,54764853
blaTEM-93_1_AJ318093,beta-lactam,0.781,1298,1662,54764853
